"Marca temporal","¿Cuál es tu rango de edad?","¿Cuál es tu rango de ingreso mensual?","¿Cuántas aplicaciones bancarias o financieras utilizas activamente?","¿Conoces qué es una fintech?","¿Qué tipo de instituciones financiera utilizas con mayor frecuencia?","¿Cuáles Fintechs utilizas? (Selección múltiple)","Si utilizas fintechs, ¿qué te preocupa de usarlas? (Selección múltiple)","¿Dirías que prefieres Fintechs sobre Bancos tradicionales?","Si la anterior pregunta fue que tienes usos diferentes para Fintechs y Bancos Tradicionales responde que usos si no, escribe NA. ","Si has utilizado tanto Fintechs como bancos tradicionales, ¿qué factor influyó MÁS en tu preferencia?","¿Qué tan difícil te resulta completar una transacción típica (transferencia, pago de servicio) en tu app bancaria principal?","Pensando en la última vez que usaste tu app bancaria, ¿qué fue lo que más te FRUSTRÓ? (Selección múltiple)","Y ¿qué fue lo que más te GUSTÓ? (Selección múltiple)","Cuando tienes un problema con tu banco, ¿qué tipo de atención prefieres?","¿Qué tanto confías en tu institución financiera principal para manejar tu dinero y datos personales?","¿Has tenido alguna vez una preocupación de seguridad con una institución financiera? Si fue así, ¿qué la causó? (Selección múltiple)","¿Cuál es tu banco principal?","¿Qué te haría cambiar de banco? (Selección múltiple)","¿Qué tipo de beneficios valoras más de tu banco? (Selección múltiple, máximo 3)","¿Qué tan importante es para ti tener acceso fácil a sucursales físicas?"
"2026/04/28 10:07:43 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","3","No","Banca tradicional","Mercado pago","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","No","N/A","Rápidez","1","Tiempos de carga","Velocidad","Atención humana","4","Fraude o cargo no autorizado","Scotiabank","Comisiones más bajas;Mejor app;Recompensas más atractivas;Mejores tasas","Puntos canjeables;Sin comisiones","5"
"2026/04/28 10:11:57 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","2","No","Banca tradicional","Spin by Oxxo","Seguridad de mi dinero","No","na","Comisiones bajas","1","Nada me frustró","Seguridad (biometría, alertas)","Atención humana","5","No he tenido ningún problema","Banamex","Mala experiencia con mi banco actual","resolución inmediata, amabilidad, cercanía hasta en los pueblitos lejanos","5"
"2026/04/29 5:20:21 a.m. GMT-6","41-55","Más de $50,000MXN","3","No","Banca tradicional","Mercado pago;Rappi Card","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Compras en páginas por internet ","Falta de seguridad en páginas ","3","Nada me frustró","Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","4","Fraude o cargo no autorizado","INVEX, Banjercito ","Comisiones más bajas;Recompensas más atractivas","Cashback;Puntos canjeables;Beneficios de viaje","5"
"2026/04/29 6:25:08 a.m. GMT-6","41-55","$20,000MXN–$50,000MXN","3","No","Banca tradicional","Ninguno","Ninguna","No","NA","Solo uso bancos tradicionales ","1","Difícil encontrar funciones","Nada en particular","Atención humana","4","Fraude o cargo no autorizado","Banorte","Comisiones más bajas;Recompensas más atractivas;Mejores tasas","Antigüedad ","5"
"2026/04/29 3:10:21 p.m. GMT-6","41-55","Más de $50,000MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","NA","NA","2","Nada me frustró","Diseño y facilidad de uso","Atención humana","4","Fraude o cargo no autorizado","Banamex","Recompensas más atractivas","Ninguno","3"
"2026/04/29 4:23:44 p.m. GMT-6","41-55","Prefiero no decir","1","No","Banca tradicional","Ninguno","Seguridad de mi dinero;Falta de sucursales físicas;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Confianza institucional","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","Banorte","Comisiones más bajas;Mejor atención;Mala experiencia con mi banco actual","Puntos canjeables;Acceso anticipado a productos;Descuentos en comercios","5"
"2026/04/29 4:53:20 p.m. GMT-6","41-55","$10,000MXN–$20,000MXN","2","Si","Ambos","Mercado pago;Spin by Oxxo","Seguridad de mi dinero;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","Na","Confianza institucional","1","Errores o caídas","Seguridad (biometría, alertas)","Depende del tipo de problema","5","No he tenido ningún problema","Banjercito ","Mejor app;Recompensas más atractivas","Descuentos en comercios;Tasas de rendimiento;Seguridad ","5"
"2026/04/29 5:02:39 p.m. GMT-6","41-55","$10,000MXN–$20,000MXN","3","He escuchado el término pero no estoy seguro","Banca tradicional","Nu (Nu Bank);Klar","Seguridad de mi dinero","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Fintechs para compras línea y uber","Comisiones bajas","2","Errores o caídas","Diseño y facilidad de uso","Depende del tipo de problema","5","Mal soporte ante un problema","Banamex","Comisiones más bajas","Sin comisiones","5"
"2026/04/29 5:03:42 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","2","Si","Ambos","Nu (Nu Bank)","Seguridad de mi dinero;Regulación o respaldo institucional (IPAB)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Prefiero los bancos por la seguridad (ipab) y las fintechs porque ofrecen rendimientos más altos que los bancos","Confianza institucional","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles","Atención humana","4","Fraude o cargo no autorizado","Banamex","Recompensas más atractivas;Mejores tasas","Acceso anticipado a productos","3"
"2026/04/29 5:08:34 p.m. GMT-6","41-55","Más de $50,000MXN","4 o más","Si","Banca tradicional","Mercado pago","Regulación o respaldo institucional (IPAB)","No","NA","Confianza institucional","1","Errores o caídas","Velocidad;Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","4","Phishing","Inbursa","Comisiones más bajas","Cashback;Beneficios de viaje;Tasas de rendimiento","5"
"2026/04/29 5:08:57 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","3","Si","Ambos","Mercado pago","Seguridad de mi dinero;Soporte limitado;Riesgo tecnológico (caídas, hackeos)","No","NA","Recompensas","1","A veces lis datos de la cuenta a transferir no es completo. A veces no acepta números de cuenta o tarjeta.","Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","5","Fraude o cargo no autorizado","Banamex","Recompensas más atractivas;Mejores tasas","Sin comisiones;Tasas de rendimiento","3"
"2026/04/29 5:17:36 p.m. GMT-6","41-55","Prefiero no decir","3","Si","Ambos","Nu (Nu Bank);Stori","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","NA","Fintechs por los rendimientos que otorga, banca tradicional por la facilidad en el uso.","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles","Depende del tipo de problema","2","No he tenido ningún problema","Banamex","Comisiones más bajas;Recompensas más atractivas","Ninguno","2"
"2026/04/29 5:25:11 p.m. GMT-6","41-55","$10,000MXN–$20,000MXN","2","Si","Banca tradicional","Ninguno","Ninguna","Si","NA","Confianza institucional","3","Tiempos de carga;Procesos con muchos pasos","Funciones disponibles;Notificaciones útiles","Depende del tipo de problema","3","Fraude o cargo no autorizado","BBVA","Comisiones más bajas;Recompensas más atractivas;Mejores tasas","Puntos canjeables;Sin comisiones","3"
"2026/04/29 5:30:12 p.m. GMT-6","41-55","Prefiero no decir","1","No","Banca tradicional","Ninguno","Ninguna","No","NA","No uso fintechs","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles","Depende del tipo de problema","5","No he tenido ningún problema","HSBC","Recompensas más atractivas;Mala experiencia con mi banco actual","Puntos canjeables;Descuentos en comercios;Sin comisiones","5"
"2026/04/29 5:37:22 p.m. GMT-6","41-55","Prefiero no decir","2","Si","Banca tradicional","Ninguno","Falta de sucursales físicas;Soporte limitado;Riesgo tecnológico (caídas, hackeos)","No","NA","Confianza institucional","1","Errores o caídas","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Nada en particular","Depende del tipo de problema","3","No he tenido ningún problema","Banamex","Comisiones más bajas","Descuentos en comercios;Sin comisiones;Tasas de rendimiento","5"
"2026/04/29 5:37:25 p.m. GMT-6","26-40","$10,000MXN–$20,000MXN","3","No","Banca tradicional","Nu (Nu Bank)","Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","Na","Rápidez","1","Errores o caídas","Recompensas o cashback","Depende del tipo de problema","3","No he tenido ningún problema","Banjercito ","Recompensas más atractivas","Cashback","5"
"2026/04/30 7:20:18 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","Si","Ambos","Nu (Nu Bank);Mercado pago","Regulación o respaldo institucional (IPAB)","No","na","Atención al cliente","1","Difícil encontrar funciones","Diseño y facilidad de uso;Funciones disponibles","Atención humana","4","No he tenido ningún problema","BBVA","Recompensas más atractivas;Mejores tasas;Mala experiencia con mi banco actual","Sin comisiones;Tasas de rendimiento","2"
"2026/05/01 8:22:35 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","NA","Rápidez","4","Procesos con muchos pasos;Login o autenticación","Velocidad","Asistente AI o chatbot","5","Fraude o cargo no autorizado","Santander","Mejor app;Mejor atención;Mejores tasas","Cashback;Acceso anticipado a productos;Tasas de rendimiento","5"
"2026/05/01 8:26:12 p.m. GMT-6","56+","Más de $50,000MXN","2","No","Banca tradicional","Ninguno","Ninguna","No","NA","NA","1","Nada me frustró","Diseño y facilidad de uso","Depende del tipo de problema","4","No he tenido ningún problema","BBVA","Recompensas más atractivas","Cashback;Puntos canjeables","1"
"2026/05/01 8:26:22 p.m. GMT-6","18-25","$20,000MXN–$50,000MXN","2","Si","Ambos","Nu (Nu Bank);Albo","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Generalmente tienen mejores tazas de rendimiento las fintechs","Experiencia","2","Errores o caídas","Diseño y facilidad de uso","Atención humana","5","Mal soporte ante un problema","Banorte","Recompensas más atractivas;Mala experiencia con mi banco actual","Cashback;Sin comisiones;Tasas de rendimiento","3"
"2026/05/01 8:26:26 p.m. GMT-6","26-40","$10,000MXN–$20,000MXN","2","No","Banca tradicional","Spin by Oxxo","Ninguna","No","Na","Recompensas","1","Nada me frustró","Nada en particular","Atención humana","5","No he tenido ningún problema","Santander","Mala experiencia con mi banco actual","Ninguno","5"
"2026/05/01 8:27:01 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","Si","Ambos","Albo","Regulación o respaldo institucional (IPAB)","No","NA","Experiencia","3","Tiempos de carga;Procesos con muchos pasos","Funciones disponibles","Depende del tipo de problema","4","Fraude o cargo no autorizado","Banorte","Comisiones más bajas;Recompensas más atractivas;Recomendación cercana","Acceso anticipado a productos;Descuentos en comercios;Beneficios de viaje","3"
"2026/05/01 8:28:26 p.m. GMT-6","26-40","Menos de $10,000 MXN","3","He escuchado el término pero no estoy seguro","Banca tradicional","Nu (Nu Bank)","Falta de sucursales físicas;Soporte limitado","Tengo usos diferentes para Fintechs y Bancos Tradicionales","En una manejo el dinero y las otras son para compras ","Recompensas","1","Soporte difícil de contactar","Diseño y facilidad de uso","Depende del tipo de problema","3","Mal soporte ante un problema","Banamex","Comisiones más bajas;Recompensas más atractivas","Ninguno","3"
"2026/05/01 8:28:38 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","3","Si","Ambos","Nu (Nu Bank)","Seguridad de mi dinero;Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Confianza institucional","1","Difícil encontrar funciones;Soporte difícil de contactar","Funciones disponibles;Seguridad (biometría, alertas)","Atención humana","3","No he tenido ningún problema","HSBC","Mejor atención;Recompensas más atractivas;Mala experiencia con mi banco actual","Cashback","4"
"2026/05/01 8:31:01 p.m. GMT-6","26-40","Más de $50,000MXN","4 o más","No","Banca tradicional","Ninguno","Ninguna","No","Na","Recompensas","1","Login o autenticación","Velocidad","Atención humana","5","Fraude o cargo no autorizado","Scotiabank","Comisiones más bajas;Mejor app;Recompensas más atractivas;Mejores tasas","Cashback;Beneficios de viaje;Sin comisiones","5"
"2026/05/01 8:32:15 p.m. GMT-6","26-40","$10,000MXN–$20,000MXN","1","He escuchado el término pero no estoy seguro","Banca tradicional","Spin by Oxxo","Seguridad de mi dinero;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Banco tradicional para pagos y ahorro y fintrhs solo lo uso para hacer pagos de servicio de la misma sucursal Oxxo pagos de Oxxo y claro pay mi telefonía ","Rápidez","1","Errores o caídas","Velocidad","Depende del tipo de problema","4","No he tenido ningún problema","BBVA","Mala experiencia con mi banco actual","Ninguno","5"
"2026/05/01 8:42:46 p.m. GMT-6","56+","Más de $50,000MXN","2","No","Banca tradicional","Mercado pago","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales","NA","Atención al cliente","1","Nada me frustró","Nada en particular","Atención humana","3","Fraude o cargo no autorizado","Banamex","Mala experiencia con mi banco actual","Ninguno","3"
"2026/05/01 8:43:09 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","NA","no he usado","2","Procesos con muchos pasos;Difícil encontrar funciones","Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","4","No he tenido ningún problema","Santander","Mejor app;Recompensas más atractivas;Mala experiencia con mi banco actual","Cashback","4"
"2026/05/01 8:59:03 p.m. GMT-6","56+","$20,000MXN–$50,000MXN","2","No","Banca tradicional","Nu (Nu Bank)","Falta de sucursales físicas","Tengo usos diferentes para Fintechs y Bancos Tradicionales","NA","Rápidez","4","Tiempos de carga;Errores o caídas;Difícil encontrar funciones","Funciones disponibles","Atención humana","2","Mal soporte ante un problema","HSBC","Comisiones más bajas","Descuentos en comercios","3"
"2026/05/01 8:59:40 p.m. GMT-6","41-55","$10,000MXN–$20,000MXN","2","No","Banca tradicional","Ninguno","Ninguna","No","NA","Atención al cliente","1","Nada me frustró","Nada en particular","Depende del tipo de problema","3","Fraude o cargo no autorizado","Santander","Mejor app","Cashback;Sin comisiones","5"
"2026/05/01 9:04:03 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","3","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Seguridad de mi dinero","No","NA","Na","2","Procesos con muchos pasos;Login o autenticación","Velocidad","Atención humana","5","Fraude o cargo no autorizado","BBVA","Mejor app;Mejor atención","Descuentos en comercios;Sin comisiones","5"
"2026/05/01 9:14:45 p.m. GMT-6","41-55","Más de $50,000MXN","4 o más","Si","Banca tradicional","Albo","Ninguna","No","NA","Rápidez","1","Procesos con muchos pasos;Difícil encontrar funciones","Velocidad","Atención humana","5","No he tenido ningún problema","Banorte","Mejor app;Mala experiencia con mi banco actual","Cashback;Puntos canjeables;Acceso anticipado a productos","5"
"2026/05/01 9:22:54 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","1","Si","Banca tradicional","Ninguno","Ninguna","No","NA","No uso","1","Difícil encontrar funciones","Velocidad;Seguridad (biometría, alertas)","Atención humana","5","Fraude o cargo no autorizado","BBVA","Mejor app;Recompensas más atractivas","Cashback;Tasas de rendimiento","3"
"2026/05/01 9:29:53 p.m. GMT-6","26-40","$20,000MXN–$50,000MXN","2","Si","Ambos","Mercado pago","Riesgo tecnológico (caídas, hackeos)","No","NA","Recompensas","1","Login o autenticación","Velocidad","Depende del tipo de problema","5","Mal soporte ante un problema","Santander","Mejor app","Beneficios de viaje","3"
"2026/05/01 9:30:14 p.m. GMT-6","56+","Más de $50,000MXN","3","Si","Banca tradicional","Ninguno","Seguridad de mi dinero","No","N/A","N/A","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles","Atención humana","5","No he tenido ningún problema","BBVA","Comisiones más bajas;Mejor app;Mejor atención;Recompensas más atractivas;Mejores tasas","Puntos canjeables;Descuentos en comercios","3"
"2026/05/01 9:33:57 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","Si","Ambos","Nu (Nu Bank)","Falta de sucursales físicas;Regulación o respaldo institucional (IPAB)","Si","NA","Atención al cliente","2","Tiempos de carga;Difícil encontrar funciones;Login o autenticación;Soporte difícil de contactar","Notificaciones útiles;Seguridad (biometría, alertas);Recompensas o cashback","Depende del tipo de problema","5","No he tenido ningún problema","BBVA","Comisiones más bajas;Mejor app;Recompensas más atractivas;Mejores tasas","Descuentos en comercios;Sin comisiones;Tasas de rendimiento","5"
"2026/05/01 9:35:58 p.m. GMT-6","41-55","Más de $50,000MXN","3","Si","Ambos","Albo","Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Tradicionales: transferencias internacionales, pagos de impuestos, inversiones y créditos; fintechs día a día, nómina, operaciones 24/7. ","Experiencia","1","Procesos con muchos pasos","Funciones disponibles","Depende del tipo de problema","3","Mal soporte ante un problema","Santander","Comisiones más bajas;Mejor atención;Mejores tasas","Sin comisiones;Tasas de rendimiento","3"
"2026/05/01 9:37:38 p.m. GMT-6","56+","$10,000MXN–$20,000MXN","2","No","Banca tradicional","Ninguno","Ninguna","No","NA","Rápidez","2","Tiempos de carga","Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","3","Fuga o uso indebido de datos","HSBC","Recompensas más atractivas","Puntos canjeables;Descuentos en comercios;Beneficios de viaje","5"
"2026/05/01 9:42:07 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","Si","Ambos","Mercado pago;Spin by Oxxo","Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Inversiones, transferencias, pagos de servicios ","Confianza institucional","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Seguridad (biometría, alertas);Recompensas o cashback","Depende del tipo de problema","4","No he tenido ningún problema","Santander","Recompensas más atractivas;Recomendación cercana","Cashback;Descuentos en comercios;Tasas de rendimiento","5"
"2026/05/01 9:44:21 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","Seguridad de mi dinero","No","NA","Confianza institucional","2","Nada me frustró","Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","5","No he tenido ningún problema","Banorte","Recompensas más atractivas;Mala experiencia con mi banco actual","Puntos canjeables","5"
"2026/05/01 9:46:30 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","3","He escuchado el término pero no estoy seguro","Banca tradicional","Spin by Oxxo","Seguridad de mi dinero;Regulación o respaldo institucional (IPAB)","No","NA","Recompensas","1","Nada me frustró","Velocidad;Notificaciones útiles;Seguridad (biometría, alertas);Recompensas o cashback","Depende del tipo de problema","5","No he tenido ningún problema","Santander","Mejor app;Recompensas más atractivas","Sin comisiones;Tasas de rendimiento","4"
"2026/05/01 9:48:29 p.m. GMT-6","56+","Más de $50,000MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","NA","Recompensas","1","Nada me frustró","Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","5","Fraude o cargo no autorizado","Banamex","Comisiones más bajas;Mala experiencia con mi banco actual","Puntos canjeables","5"
"2026/05/01 9:53:01 p.m. GMT-6","41-55","Prefiero no decir","4 o más","Si","Ambos","Nu (Nu Bank);Mercado pago;Klar;Kueski Pay","Seguridad de mi dinero;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Compras en línea ","Rápidez","1","Difícil encontrar funciones;Soporte difícil de contactar","Velocidad","Atención humana","2","Mal soporte ante un problema","BBVA","Comisiones más bajas;Mejor atención;Mejores tasas","Puntos canjeables;Sin comisiones;Tasas de rendimiento","3"
"2026/05/01 10:07:48 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","ninguno","Ninguna","No","NA","NA","1","Tiempos de carga","Funciones disponibles","Depende del tipo de problema","3","No he tenido ningún problema","BBVA","Recompensas más atractivas","Cashback;Descuentos en comercios;Sin comisiones","5"
"2026/05/01 10:37:22 p.m. GMT-6","56+","Prefiero no decir","4 o más","No","Banca tradicional","Nu (Nu Bank);Spin by Oxxo","Seguridad de mi dinero;Falta de sucursales físicas;Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Apenas empecé a utilizar Nu","Rápidez","1","Procesos con muchos pasos;Errores o caídas;Soporte difícil de contactar","Nada en particular","Atención humana","3","Fraude o cargo no autorizado","HSBC","Mejor app;Mejor atención;Cargo de comisiones que no aplican","Ninguno","5"
"2026/05/01 10:46:05 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","Si","Banca tradicional","Nu (Nu Bank);Mercado pago","Soporte limitado;Riesgo tecnológico (caídas, hackeos)","Si","NA","Rápidez","1","Errores o caídas;Soporte difícil de contactar","Velocidad;Diseño y facilidad de uso","Atención humana","4","No he tenido ningún problema","BBVA","Mejor atención;Recompensas más atractivas","Sin comisiones;Tasas de rendimiento","5"
"2026/05/01 11:08:49 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Nu (Nu Bank)","Seguridad de mi dinero;Falta de sucursales físicas;Soporte limitado","No","NA","Recompensas","1","Tiempos de carga","Diseño y facilidad de uso","Atención humana","3","Mal soporte ante un problema","Banorte","Mejor atención;Recompensas más atractivas","Ninguno","4"
"2026/05/01 11:50:43 p.m. GMT-6","56+","$20,000MXN–$50,000MXN","2","Si","Ambos","Nu (Nu Bank)","Falta de sucursales físicas","Tengo usos diferentes para Fintechs y Bancos Tradicionales","N/A","Confianza institucional","1","Nada me frustró","Diseño y facilidad de uso","Depende del tipo de problema","4","No he tenido ningún problema","BBVA","Mejor atención;Mejores tasas","Puntos canjeables;Sin comisiones;Tasas de rendimiento","4"
"2026/05/01 11:55:42 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","No","Banca tradicional","Mercado pago","Seguridad de mi dinero","No","na ","Rápidez","1","Errores o caídas","Seguridad (biometría, alertas)","Atención humana","5","No he tenido ningún problema","BBVA","Mala experiencia con mi banco actual","Sin comisiones","4"
"2026/05/02 12:23:20 a.m. GMT-6","56+","$10,000MXN–$20,000MXN","1","No","Banca tradicional","Ninguno","Seguridad de mi dinero","No","NA","Confianza institucional","5","Difícil encontrar funciones","Nada en particular","Atención humana","2","Fraude o cargo no autorizado","Santander","Comisiones más bajas","Puntos canjeables;Acceso anticipado a productos;Tasas de rendimiento","5"
"2026/05/02 12:34:36 a.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","He escuchado el término pero no estoy seguro","Ambos","Mercado pago","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Ocupo la Fintechs como cuenta de ahorro y mi cuenta de banco tradicional para lo demás ","Comisiones bajas","1","Tiempos de carga","Seguridad (biometría, alertas)","Atención humana","3","Fraude o cargo no autorizado","BBVA","Comisiones más bajas;Mejor atención;Recomendación cercana","Puntos canjeables;Acceso anticipado a productos","5"
"2026/05/02 12:40:15 a.m. GMT-6","26-40","Menos de $10,000 MXN","3","No","Ambos","Mercado pago;Kueski Pay","Seguridad de mi dinero;Soporte limitado;Regulación o respaldo institucional (IPAB)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Uso las Fintechs para transferir y pagar servicios (agua, luz, etc.)","Experiencia","3","Tiempos de carga;Procesos con muchos pasos;Difícil encontrar funciones","Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","5","No he tenido ningún problema","Banamex","Mejor app;Mejor atención;Recompensas más atractivas;Mejores tasas","Acceso anticipado a productos;Descuentos en comercios;Sin comisiones","4"
"2026/05/02 1:16:39 a.m. GMT-6","56+","$20,000MXN–$50,000MXN","3","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Seguridad de mi dinero;Soporte limitado;Riesgo tecnológico (caídas, hackeos)","No","NA","Comisiones bajas","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Notificaciones útiles;Seguridad (biometría, alertas)","Depende del tipo de problema","3","Fraude o cargo no autorizado","Santander","Comisiones más bajas;Mejor atención;Recompensas más atractivas;Mejores tasas","Acceso anticipado a productos;Descuentos en comercios","2"
"2026/05/02 1:23:03 a.m. GMT-6","56+","$20,000MXN–$50,000MXN","3","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","No","NA","Comisiones bajas","2","Login o autenticación","Diseño y facilidad de uso;Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","3","Fraude o cargo no autorizado","Santander","Comisiones más bajas;Mejor atención;Recompensas más atractivas;Mejores tasas","Puntos canjeables;Acceso anticipado a productos;Descuentos en comercios","2"
"2026/05/02 5:11:10 a.m. GMT-6","41-55","$10,000MXN–$20,000MXN","2","He escuchado el término pero no estoy seguro","Ambos","Nu (Nu Bank)","Falta de sucursales físicas","No","NA","Experiencia","2","Tiempos de carga;Procesos con muchos pasos","Diseño y facilidad de uso;Funciones disponibles","Atención humana","5","Phishing","BBVA","Recompensas más atractivas","Acceso anticipado a productos;Descuentos en comercios","5"
"2026/05/02 7:30:25 a.m. GMT-6","18-25","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","No","NA","Confianza institucional","2","Tiempos de carga;Difícil encontrar funciones","Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","BBVA","Comisiones más bajas;Mejor app;Mejores tasas","Ninguno","4"
"2026/05/02 8:19:16 a.m. GMT-6","18-25","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Ninguna","No","NA","Confianza institucional","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Seguridad (biometría, alertas)","Depende del tipo de problema","4","Fraude o cargo no autorizado","BBVA","Mejor app;Mejor atención","Descuentos en comercios;Beneficios de viaje","3"
"2026/05/02 2:06:29 p.m. GMT-6","26-40","$20,000MXN–$50,000MXN","4 o más","Si","Banca tradicional","Nu (Nu Bank);Spin by Oxxo;Bankaool ","Seguridad de mi dinero;Falta de sucursales físicas;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Uso fintechs para que me de rendimientos y bancos tradicionales para compras con tarjeta de crédito y promociones o preventas ","Recompensas","1","Difícil encontrar funciones;Soporte difícil de contactar","Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas)","Depende del tipo de problema","3","Fraude o cargo no autorizado","Banorte","Recompensas más atractivas;Mejores tasas;Mala experiencia con mi banco actual","Puntos canjeables;Acceso anticipado a productos","5"
"2026/05/02 2:47:53 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","Si","Ambos","Nu (Nu Bank);Mercado pago","Seguridad de mi dinero","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Prefiero las fintechs por su mayor atractivo en métodos de ahorro, ya que te ofrecen más beneficios ","Recompensas","2","Procesos con muchos pasos","Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","4","No he tenido ningún problema","BBVA","Recompensas más atractivas","Sin comisiones","5"
"2026/05/02 7:26:27 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","Seguridad de mi dinero;Falta de sucursales físicas","No","NA","No he usado","1","La app falla a cada rato","Diseño y facilidad de uso","Atención humana","4","No he tenido ningún problema","Banamex","Recomendación cercana;Mejores tasas;Mala experiencia con mi banco actual","Cashback;Beneficios de viaje;Tasas de rendimiento","5"
